Index,feature_corr_label
12,0.3578
8,0.348
10,0.3163
11,0.3104
29,0.2768
30,0.2709
21,0.2614
110,0.2601
109,0.256
22,0.2536
102,0.2382
101,0.2277
0,0.2274
64,0.2235
4,0.2202
62,0.2045
61,0.2026
68,0.2014
93,0.195
2,0.1924
53,0.1923
85,0.1918
54,0.1912
94,0.1906
86,0.185
45,0.1801
3,0.1798
46,0.1772
66,0.1662
76,0.1476
67,0.1452
72,0.1452
31,0.1415
118,0.1414
126,0.1355
125,0.1319
117,0.1316
37,0.1313
38,0.127
23,0.1192
74,0.1039
75,0.0897
111,0.0784
63,0.0773
55,0.0619
103,0.0603
87,0.0599
95,0.0578
119,0.0332
127,0.0261
47,-0.0743
77,-0.0812
32,-0.0928
39,-0.0934
120,-0.0957
112,-0.1002
78,-0.1119
9,-0.1299
40,-0.1339
69,-0.1438
48,-0.1545
88,-0.1568
56,-0.1648
80,-0.1671
5,-0.1711
70,-0.1735
96,-0.1772
65,-0.183
79,-0.189
6,-0.1953
33,-0.2012
73,-0.2018
104,-0.2109
41,-0.2126
1,-0.2135
71,-0.2217
16,-0.2394
34,-0.2503
24,-0.2544
97,-0.2572
7,-0.2614
105,-0.2725
81,-0.2813
113,-0.2824
121,-0.2841
89,-0.2878
13,-0.2913
42,-0.2914
49,-0.3034
57,-0.3052
14,-0.308
17,-0.3084
15,-0.3138
25,-0.3176
114,-0.3316
122,-0.3317
82,-0.3446
90,-0.3482
50,-0.3606
58,-0.3669
98,-0.3801
18,-0.3826
106,-0.3911
26,-0.3926
36,-0.4047
35,-0.4152
84,-0.4217
44,-0.4405
92,-0.4461
83,-0.4544
20,-0.4555
43,-0.4591
28,-0.4669
91,-0.4708
60,-0.4754
52,-0.477
116,-0.4796
19,-0.486
59,-0.4884
115,-0.4907
27,-0.4924
51,-0.493
124,-0.4967
123,-0.5024
99,-0.5193
107,-0.526
100,-0.5308
108,-0.5356
